issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
2027-5137,2322-777X,2027-5137,historia arqueologia humanidades c memoria history memory historiography general europe america latin spanish,history q2 arts humanities,13,4,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0124-8170,1909-7735,0124-8170,otras ingenierias tecnologias ingenieria tecnologia b,engineering technology civil materials science electronic general,6,7,1806.0,EUR,1950.48,1.08,5132.84,observado,True
1909-8391,1847-7755,1909-8391,psicologia ciencias sociales b,tesis psicologica sic casopis za knjizevnost kulturu i knjizevno prevodjenje culture literature translation humanities social sciences language general,4,18,1005.27,EUR,1085.69,1.08,2857.08,observado,True
0120-0011,0123-2576,0120-0011,otras ciencias medicas salud c,education q4 medical laboratory technology medicine miscellaneous health professions social sciences public,5,12,1448.6,EUR,1564.49,1.08,4117.08,observado,True
1909-941X,2389-7848,1909-941X,economia negocios ciencias sociales c,business administration economics financial social sciences economic theory demography as science,5,11,2200.0,EUR,2376.0,1.08,6252.63,observado,True
0121-6805,1909-7719,0121-6805,economia negocios ciencias sociales b facultad economicas investigacion reflexion,accounting management economics economy bussines social sciences economic history conditions theory demography as science,9,14,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0122-8102,2346-1691,0122-8102,teoria literaria idiomas literatura humanidades b,literature literary theory q3 arts humanities,6,6,2628.61,EUR,2838.9,1.08,7470.79,observado,True
1900-6586,2500-7645,1900-6586,otras ciencias sociales c,law q2 political science relations public administration safety risk reliability quality social sciences miscellaneous sociology engineering military strategic security defense,4,20,895.15,EUR,966.76,1.08,2544.11,observado,True
1794-2470,,1794-2470,ciencias salud medicas b nova publicacion cientifica,biomedical sciences medical microbiology life medicine general science biology,7,9,2900.0,EUR,3132.0,1.08,8242.11,observado,True
1657-4915,2389-7856,1657-4915,sociologia ciencias sociales c praxis special education,,7,0,2380.0,EUR,2570.4,1.08,6764.21,observado,True
0120-5323,1698-7950,0120-5323,filosofia otras humanidades c universitas philosophica derecho politica,political philosophy law human rights science gender politics general comparative uniform jurisprudence public psychology religion,8,15,2255.17,EUR,2435.58,1.08,6409.42,observado,True
0120-419X,2145-8472,0120-419X,matematica ciencias naturales c integracion applied mathematics statistics,science mathematics,8,2,2594.99,EUR,2802.59,1.08,7375.24,observado,True
0121-4004,2145-2660,0121-4004,farmacologia farmacia medicina basica ciencias medicas salud c,vitae pharmacy pharmaceutical care cosmetics natural products biotechnology food technology chemical processing manufacture social sciences industries land use labor special trades industry,8,22,1176.26,EUR,1270.36,1.08,3343.05,observado,True
0120-2456,2256-5647,0120-2456,historia arqueologia humanidades c,cultural q2 history arts humanities social sciences anuario colombiano historia cultura,4,11,1116.0,EUR,1205.28,1.08,3171.79,observado,True
1692-8261,2216-1368,1692-8261,otras ingenierias tecnologias ingenieria tecnologia b,technology mechanical engineering machinery,6,4,2838.0,EUR,3065.04,1.08,8065.89,observado,True
2145-4892,2256-1102,2145-4892,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales c universidad antioquia philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,18,8,242.0,EUR,261.36,1.08,687.79,observado,True
2145-549X,2422-4200,2145-549X,otras humanidades b logos ciencia 6 tecnologia,police science technology general works history scholarship learning humanities social sciences,7,11,243.34,EUR,262.81,1.08,691.61,observado,True
0120-0062,2011-3668,0120-0062,otras humanidades b,philosophy q3 arts humanities,3,4,2709.03,EUR,2925.75,1.08,7699.34,observado,True
0122-5383,2382-4581,0122-5383,ingenieria procesos quimica tecnologia c,ct f ciencia tecnologia futuro chemical engineering earth planetary sciences energy oil alternative sources social industries land use labor special trades policy fuel trade technology,5,25,902.03,EUR,974.19,1.08,2563.66,observado,True
1900-4699,2797-0965,1900-4699,otras biologias ciencias biologicas naturales c facultad basicas,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine basica primary education elementary learning strategies islamic special aspects,8,24,2000.0,EUR,2160.0,1.08,5684.21,observado,True
0124-0021,1852-4222,0124-0021,derecho ciencias sociales c dialogos saberes,economics accounting taxation management statistics social sciences economic theory demography,6,10,243.34,EUR,262.81,1.08,691.61,observado,True
0120-8942,2027-5366,0120-8942,derecho ciencias sociales c,philosophy q3 law q4 arts humanities social sciences general comparative uniform jurisprudence,4,12,682.0,EUR,736.56,1.08,1938.32,observado,True
1909-9746,2248-4728,1909-9746,ingenieria electrica electronica ingenierias informatica tecnologia c,technology electrical engineering electronics nuclear,7,5,1661.96,EUR,1794.92,1.08,4723.47,observado,True
0120-8462,2500-5375,0120-8462,filosofia otras humanidades c,,4,0,1828.24,EUR,1974.5,1.08,5196.05,observado,True
