issn_fisico,issn_virtual,issn_normalizado,texto_espanol,texto_ingles,tokens_espanol,tokens_ingles,apc_monto_original,apc_moneda_original,apc_monto_usd,tasa_usd_utilizada,apc_monto_ppp_usd,apc_tipo,apc_real_disponible
0123-4676,2215-4744,0123-4676,historia arqueologia humanidades b fronteras history historiography costa rican central american latin general europe america spanish philosophy psychology religion doctrinal theology specific doctrines movements heresies schisms,history q4 political science relations arts humanities social sciences,26,9,1116.0,EUR,1205.28,1.08,3171.79,observado,True
0121-5132,1657-0448,0121-5132,otras ingenierias tecnologias ingenieria tecnologia c,dermatology q4 surgery medicine technology engineering general civil,6,8,,,,,,,False
0120-5552,2707-6954,0120-5552,ciencias salud medicas a2 uninorte,health professions miscellaneous q3 occupational therapy physical sports rehabilitation q4 public environmental speech hearing medicine sciences nursing education,5,18,,,,,,,False
1909-7891,2358-3452,1909-7891,ingenieria civil tecnologia c vetor ciencias exatas engenharias,vector engineering chemistry exact sciences applied mathematics mathematical modelling technology general civil science,8,13,1104.0,EUR,1192.32,1.08,3137.68,observado,True
1692-3103,0120-1867,1692-3103,derecho ciencias sociales b maestria economico universidad catolica santisima concepcion,law q3 political science relations q4 social sciences legal jurisprudence history public private,10,13,1828.49,EUR,1974.77,1.08,5196.76,observado,True
0120-6680,1988-3242,0120-6680,filosofia otras humanidades c,,4,0,243.34,EUR,262.81,1.08,691.61,observado,True
0123-417X,2007-7149,0123-417X,psicologia incluye terapias aprendizaje habla visual otras discapacidades fisicas mentales ciencias sociales a2 desde caribe philosophy psychology religion,behavioral sciences clinical psychology occupational educational social psychosocial,18,8,,,,,,,False
1657-5946,2215-7727,1657-5946,economia negocios ciencias sociales c gestion desarrollo,agronomy crop science q4 economics econometrics geography planning development agricultural biological sciences finance social economic history conditions theory demography as,7,20,2908.3,EUR,3140.96,1.08,8265.68,observado,True
0120-9833,2543-3717,0120-9833,ingenieria ambiental tecnologia c,energetica energy renewable environment solar thermal social sciences industries land use labor special trades policy fuel trade,4,17,2671.76,EUR,2885.5,1.08,7593.42,observado,True
0120-341X,3005-5857,0120-341X,otras ciencias sociales c,natural sciences social health mathematical logic information tecnology agriculture,4,9,,,,,,,False
1692-3901,2518-0983,1692-3901,economia negocios ciencias sociales c desarrollo,social sciences economic history conditions theory demography economics as science,6,10,,,,,,,False
0122-3461,2215-2652,0122-3461,otras ingenierias tecnologias ingenieria tecnologia a2,technology engineering general civil,6,4,,,,,,,False
0121-5701,2718-6555,0121-5701,geologia ciencias tierra medioambientales naturales c avances recursos hidraulicos fine arts general,arts art history humanities social sciences visual culture,12,8,,,,,,,False
0120-4130,2590-9207,0120-4130,teoria literaria idiomas literatura humanidades c poligramas literature literary criticism theory history latinamerican language french italian spanish portuguese,literature literary theory q2 arts humanities,18,6,,,,,,,False
